Value
39
42
40
43
41
41
42
40
42
40
38
35
36
33
34
34
34
37
38
36
51
56
67
49
53
49
41
42
41
39
43
43
47
46
51
56
50
53
56
50
54
54
57
61
67
64
62
64
62
50
44
43
41
39
41
39
37
37
