Value
314
226
260
247
232
222
258
281
228
237
325
362
434
373
435
417
451
536
676
606
572
613
729
756
998
989
1222
1080
1421
2407
2434
2718
4892
4403
6767
10975
13657
9170
10951
6844
9119
7541
6385
7624
7193
6589
6377
4214
3843
3487
3859
8336
4158
5402
8564
10583
10399
9757
8343
9261
7424
8708
8491
8550
8577
8309
8206
8027
7642
7296
7397
7047
