Date and Time,GUESS
2015-05-15T00:00:00,2.1434900000000003
2015-05-16T00:00:00,2.1476599999999997
2015-05-17T00:00:00,2.24812
2015-05-18T00:00:00,2.23009
2015-05-19T00:00:00,2.19119
2015-05-20T00:00:00,2.15675
2015-05-21T00:00:00,2.19162
2015-05-22T00:00:00,2.1509400000000003
2015-05-23T00:00:00,2.14038
2015-05-24T00:00:00,2.07209
2015-05-25T00:00:00,2.08703
2015-05-26T00:00:00,2.08489
2015-05-27T00:00:00,2.0913
2015-05-28T00:00:00,2.04648
2015-05-29T00:00:00,2.07849
2015-05-30T00:00:00,2.08703
2015-05-31T00:00:00,2.09983
2015-06-01T00:00:00,2.08489
2015-06-02T00:00:00,2.10059
2015-06-03T00:00:00,2.08663
2015-06-04T00:00:00,2.1004099999999997
2015-06-05T00:00:00,2.0608400000000002
2015-06-06T00:00:00,2.13122
2015-06-07T00:00:00,2.1650099999999997
2015-06-08T00:00:00,2.16604
2015-06-09T00:00:00,2.19933
2015-06-10T00:00:00,2.2326200000000003
2015-06-11T00:00:00,2.2596700000000003
2015-06-12T00:00:00,2.2471900000000002
2015-06-13T00:00:00,2.24094
2015-06-14T00:00:00,2.2085
2015-06-15T00:00:00,2.2410200000000002
2015-06-16T00:00:00,2.17118
2015-06-17T00:00:00,2.1509400000000003
2015-06-18T00:00:00,2.16302
2015-06-19T00:00:00,2.2298400000000003
2015-06-20T00:00:00,2.1922200000000003
2015-06-21T00:00:00,2.14225
2015-06-22T00:00:00,2.1379
2015-06-23T00:00:00,2.1813599999999997
2015-06-24T00:00:00,2.20091
2015-06-25T00:00:00,2.21395
2015-06-26T00:00:00,2.1857
2015-06-27T00:00:00,2.17267
2015-06-28T00:00:00,2.2269799999999997
2015-06-29T00:00:00,2.20134
2015-06-30T00:00:00,2.1995299999999998
2015-07-01T00:00:00,2.18465
2015-07-02T00:00:00,2.13942
2015-07-03T00:00:00,2.16778
2015-07-04T00:00:00,2.22448
2015-07-05T00:00:00,2.21829
2015-07-06T00:00:00,2.28957
2015-07-07T00:00:00,2.30037
2015-07-08T00:00:00,2.31981
2015-07-09T00:00:00,2.31549
2015-07-10T00:00:00,2.30253
2015-07-11T00:00:00,2.28093
2015-07-12T00:00:00,2.2759099999999997
2015-07-13T00:00:00,2.23253
2015-07-14T00:00:00,2.22326
2015-07-15T00:00:00,2.23454
2015-07-16T00:00:00,2.24017
2015-07-17T00:00:00,2.2248
2015-07-18T00:00:00,2.26891
2015-07-19T00:00:00,2.2800700000000003
2015-07-20T00:00:00,2.2778400000000003
2015-07-21T00:00:00,2.2800700000000003
2015-07-22T00:00:00,2.26444
2015-07-23T00:00:00,2.29347
2015-07-24T00:00:00,2.34707
2015-07-25T00:00:00,2.33948
2015-07-26T00:00:00,2.3355599999999996
2015-07-27T00:00:00,2.36827
2015-07-28T00:00:00,2.3802
2015-07-29T00:00:00,2.3925
2015-07-30T00:00:00,2.3729
2015-07-31T00:00:00,2.31544
2015-08-01T00:00:00,2.34059
2015-08-02T00:00:00,2.38401
2015-08-03T00:00:00,2.36573
2015-08-04T00:00:00,2.3703
2015-08-05T00:00:00,2.31773
2015-08-06T00:00:00,2.32459
2015-08-07T00:00:00,2.33144
2015-08-08T00:00:00,2.31834
2015-08-09T00:00:00,2.27054
2015-08-10T00:00:00,2.33776
2015-08-11T00:00:00,2.3980200000000003
2015-08-12T00:00:00,2.39343
2015-08-13T00:00:00,2.41675
2015-08-14T00:00:00,2.40093
2015-08-15T00:00:00,2.3479400000000004
2015-08-16T00:00:00,2.3755900000000003
2015-08-17T00:00:00,2.30416
2015-08-18T00:00:00,2.2488599999999996
2015-08-19T00:00:00,2.31568
2015-08-20T00:00:00,2.3295
2015-08-21T00:00:00,2.3755900000000003
2015-08-22T00:00:00,2.42978
2015-08-23T00:00:00,2.41606
2015-08-24T00:00:00,2.4567099999999997
2015-08-25T00:00:00,2.44997
2015-08-26T00:00:00,2.46743
2015-08-27T00:00:00,2.46375
2015-08-28T00:00:00,2.46237
2015-08-29T00:00:00,2.49084
2015-08-30T00:00:00,2.5074400000000003
2015-08-31T00:00:00,2.5121900000000004
2015-09-01T00:00:00,2.5454
2015-09-02T00:00:00,2.47332
2015-09-03T00:00:00,2.40971
2015-09-04T00:00:00,2.36255
2015-09-05T00:00:00,2.27542
2015-09-06T00:00:00,2.2542299999999997
2015-09-07T00:00:00,2.1511
2015-09-08T00:00:00,2.07063
2015-09-09T00:00:00,2.05915
2015-09-10T00:00:00,2.10985
2015-09-11T00:00:00,2.15217
2015-09-12T00:00:00,2.12194
2015-09-13T00:00:00,2.08365
2015-09-14T00:00:00,2.13
2015-09-15T00:00:00,2.17836
2015-09-16T00:00:00,2.19448
2015-09-17T00:00:00,2.13806
2015-09-18T00:00:00,2.09174
2015-09-19T00:00:00,2.09478
2015-09-20T00:00:00,2.0645700000000002
2015-09-21T00:00:00,2.02127
2015-09-22T00:00:00,2.02868
2015-09-23T00:00:00,2.04331
2015-09-24T00:00:00,2.06357
2015-09-25T00:00:00,2.1013599999999997
2015-09-26T00:00:00,2.1433400000000002
2015-09-27T00:00:00,2.19373
2015-09-28T00:00:00,2.2084200000000003
2015-09-29T00:00:00,2.2357099999999996
2015-09-30T00:00:00,2.24621
2015-10-01T00:00:00,2.27315
2015-10-02T00:00:00,2.20202
2015-10-03T00:00:00,2.2099599999999997
2015-10-04T00:00:00,2.23255
2015-10-05T00:00:00,2.2591900000000003
2015-10-06T00:00:00,2.21659
2015-10-07T00:00:00,2.18167
2015-10-08T00:00:00,2.14509
2015-10-09T00:00:00,2.1623
2015-10-10T00:00:00,2.15585
2015-10-11T00:00:00,2.1537
2015-10-12T00:00:00,2.1364900000000002
2015-10-13T00:00:00,2.1042099999999997
2015-10-14T00:00:00,2.14079
2015-10-15T00:00:00,2.19714
2015-10-16T00:00:00,2.2448599999999996
2015-10-17T00:00:00,2.20646
2015-10-18T00:00:00,2.19175
2015-10-19T00:00:00,2.24811
2015-10-20T00:00:00,2.23336
2015-10-21T00:00:00,2.21867
2015-10-22T00:00:00,2.20574
2015-10-23T00:00:00,2.20359
2015-10-24T00:00:00,2.2208200000000002
2015-10-25T00:00:00,2.24667
2015-10-26T00:00:00,2.21651
2015-10-27T00:00:00,2.28329
2015-10-28T00:00:00,2.2639
2015-10-29T00:00:00,2.25169
2015-10-30T00:00:00,2.28118
2015-10-31T00:00:00,2.31655
2015-11-01T00:00:00,2.33287
2015-11-02T00:00:00,2.32482
2015-11-03T00:00:00,2.33248
2015-11-04T00:00:00,2.38092
2015-11-05T00:00:00,2.38313
2015-11-06T00:00:00,2.32366
2015-11-07T00:00:00,2.34789
2015-11-08T00:00:00,2.3060400000000003
2015-11-09T00:00:00,2.3104400000000003
2015-11-10T00:00:00,2.2774099999999997
2015-11-11T00:00:00,2.34837
2015-11-12T00:00:00,2.36033
2015-11-13T00:00:00,2.4476400000000003
2015-11-14T00:00:00,2.44274
2015-11-15T00:00:00,2.4721900000000003
2015-11-16T00:00:00,2.55845
2015-11-17T00:00:00,2.61856
2015-11-18T00:00:00,2.5323700000000002
2015-11-19T00:00:00,2.51839
2015-11-20T00:00:00,2.49975
2015-11-21T00:00:00,2.56032
2015-11-22T00:00:00,2.6278799999999998
2015-11-23T00:00:00,2.59061
2015-11-24T00:00:00,2.60661
2015-11-25T00:00:00,2.6766799999999997
2015-11-26T00:00:00,2.7673400000000004
2015-11-27T00:00:00,2.78028
2015-11-28T00:00:00,2.7412400000000003
2015-11-29T00:00:00,2.73982
2015-11-30T00:00:00,2.753
2015-12-01T00:00:00,2.8559200000000002
2015-12-02T00:00:00,2.83791
2015-12-03T00:00:00,2.7916
2015-12-04T00:00:00,2.78388
2015-12-05T00:00:00,2.84048
2015-12-06T00:00:00,2.87908
2015-12-07T00:00:00,2.91573
2015-12-08T00:00:00,2.86671
2015-12-09T00:00:00,2.98385
2015-12-10T00:00:00,3.16188
2015-12-11T00:00:00,3.27599
2015-12-12T00:00:00,3.3111099999999998
2015-12-13T00:00:00,3.28557
2015-12-14T00:00:00,3.3555300000000003
2015-12-15T00:00:00,3.4506900000000003
2015-12-16T00:00:00,3.4255
2015-12-17T00:00:00,3.32195
2015-12-18T00:00:00,3.2799699999999996
