Currency,Date,Open,High,Low,Close,Volume,Market Cap
True,"Nov 24, 2019","7,398.63","7,408.58","7,029.29","7,047.92","30,433,517,289","127,327,398,565"
True,"Nov 23, 2019","7,296.16","7,442.26","7,151.42","7,397.80","21,008,924,418","133,636,205,957"
True,"Nov 22, 2019","7,643.57","7,697.38","6,936.71","7,296.58","34,242,315,785","131,791,783,672"
True,"Nov 21, 2019","8,023.64","8,110.10","7,597.38","7,642.75","22,514,243,371","138,031,885,379"
True,"Nov 20, 2019","8,203.61","8,237.24","8,010.51","8,027.27","20,764,300,437","144,962,727,398"
True,"Nov 19, 2019","8,305.13","8,408.52","8,099.96","8,206.15","21,083,613,816","148,178,376,843"
True,"Nov 18, 2019","8,573.98","8,653.28","8,273.57","8,309.29","21,579,470,673","150,025,712,267"
True,"Nov 17, 2019","8,549.47","8,727.79","8,500.97","8,577.98","18,668,638,897","154,861,842,425"
True,"Nov 16, 2019","8,491.17","8,592.00","8,473.97","8,550.76","16,495,389,808","154,354,054,194"
True,"Nov 15, 2019","8,705.71","8,730.87","8,484.84","8,491.99","21,796,856,471","153,277,483,626"
True,"Nov 14, 2019","8,811.94","8,826.94","8,692.55","8,708.10","19,084,739,975","157,160,974,644"
True,"Dec 01, 2019","7,571.62","7,571.62","7,291.34","7,424.29","18,720,708,479","134,215,145,410"
True,"Nov 01, 2019","9,193.99","9,275.66","9,132.05","9,261.10","24,324,691,031","166,928,044,164"
True,"Oct 01, 2019","8,299.72","8,497.69","8,232.68","8,343.28","15,305,343,413","149,913,972,768"
True,"Sep 01, 2019","9,630.59","9,796.76","9,582.94","9,757.97","11,445,355,859","174,768,292,883"
True,"Aug 01, 2019","10,077.44","10,446.92","9,922.02","10,399.67","17,165,337,858","185,653,203,391"
True,"Jul 01, 2019","10,796.93","11,206.44","10,089.31","10,583.13","29,378,589,324","188,297,637,574"
True,"Jun 01, 2019","8,573.84","8,625.60","8,481.58","8,564.02","22,488,303,544","151,890,214,310"
True,"May 01, 2019","5,350.91","5,418.00","5,347.65","5,402.70","13,679,528,236","95,501,110,091"
True,"Apr 01, 2019","4,105.36","4,164.95","4,096.90","4,158.18","10,157,794,171","73,269,368,747"
True,"Oct 12, 2019","8,315.66","8,415.24","8,313.34","8,336.56","14,532,641,605","149,965,767,624"
True,"Mar 01, 2019","3,853.76","3,907.80","3,851.69","3,859.58","7,661,247,975","67,796,965,743"
True,"Feb 01, 2019","3,460.55","3,501.95","3,431.59","3,487.95","5,422,926,707","61,088,747,491"
True,"Jan 01, 2019","3,746.71","3,850.91","3,707.23","3,843.52","4,324,200,990","67,098,634,181"
True,"Dec 01, 2018","4,024.46","4,309.38","3,969.71","4,214.67","5,375,314,093","73,346,194,969"
True,"Nov 01, 2018","6,318.14","6,547.14","6,311.83","6,377.78","3,789,400,000","110,683,820,788"
True,"Oct 01, 2018","6,619.85","6,653.30","6,549.08","6,589.62","4,000,970,000","113,999,846,113"
True,"Sep 01, 2018","7,044.81","7,242.29","7,038.05","7,193.25","4,116,050,000","124,044,625,438"
True,"Aug 01, 2018","7,769.04","7,769.04","7,504.95","7,624.91","4,797,620,000","131,030,166,771"
True,"Jul 01, 2018","6,411.68","6,432.85","6,289.29","6,385.82","4,788,259,840","109,366,024,632"
True,"Jun 01, 2018","7,500.70","7,604.73","7,407.34","7,541.45","4,921,460,224","128,725,854,692"
True,"May 01, 2018","9,251.47","9,255.88","8,891.05","9,119.01","7,713,019,904","155,114,132,125"
True,"Apr 01, 2018","7,003.06","7,060.95","6,526.87","6,844.23","4,532,100,096","116,026,809,075"
True,"Mar 01, 2018","10,385.00","11,052.30","10,352.70","10,951.00","7,317,279,744","185,009,753,075"
True,"Feb 01, 2018","10,237.30","10,288.80","8,812.28","9,170.54","9,959,400,448","154,428,564,694"
True,"Jan 01, 2018","14,112.20","14,112.20","13,154.70","13,657.20","10,291,200,000","229,119,155,396"
True,"Dec 01, 2017","10,198.60","11,046.70","9,694.65","10,975.60","6,783,119,872","183,444,663,767"
True,"Nov 01, 2017","6,440.97","6,767.31","6,377.88","6,767.31","2,870,320,128","112,735,345,036"
True,"Oct 01, 2017","4,341.05","4,403.74","4,269.81","4,403.74","1,208,210,048","73,094,870,674"
True,"Sep 01, 2017","4,701.76","4,892.01","4,678.53","4,892.01","2,599,079,936","80,905,039,782"
True,"Aug 01, 2017","2,871.30","2,921.35","2,685.61","2,718.26","1,324,669,952","44,804,603,885"
True,"Jul 01, 2017","2,492.60","2,515.27","2,419.23","2,434.55","779,913,984","39,980,058,373"
True,"Jun 01, 2017","2,288.33","2,448.39","2,288.33","2,407.88","1,653,180,032","39,407,633,763"
True,"May 01, 2017","1,348.30","1,434.32","1,348.30","1,421.60","713,624,000","23,179,524,919"
True,"Apr 01, 2017","1,071.71","1,091.72","1,061.09","1,080.50","289,633,984","17,557,597,716"
True,"Mar 01, 2017","1,180.04","1,222.50","1,179.69","1,222.50","229,056,992","19,794,459,608"
True,"Feb 01, 2017",970.94,989.11,970.74,989.02,"150,110,000","15,962,015,276"
True,"Jan 01, 2017",963.66,"1,003.08",958.70,998.33,"147,775,008","16,050,407,461"
True,"Dec 01, 2016",746.05,758.28,746.05,756.77,"80,461,904","12,122,431,239"
True,"Nov 01, 2016",701.34,736.45,701.34,729.79,"130,527,000","11,642,863,554"
True,"Oct 01, 2016",609.93,615.24,609.93,613.98,"56,357,000","9,761,887,632"
True,"Sep 01, 2016",575.55,576.31,571.81,572.30,"76,923,400","9,067,854,884"
True,"Aug 01, 2016",624.60,626.12,605.88,606.27,"121,887,000","9,572,348,580"
True,"Jul 01, 2016",672.52,686.15,669.59,676.30,"134,431,008","10,632,674,990"
True,"Jun 01, 2016",531.11,543.08,525.64,536.92,"86,061,800","8,381,321,200"
True,"May 01, 2016",448.48,452.48,447.93,451.88,"40,660,100","7,001,712,750"
True,"Apr 01, 2016",416.76,418.17,415.83,417.96,"51,235,700","6,429,593,619"
True,"Mar 01, 2016",437.92,439.65,432.32,435.12,"74,895,800","6,643,686,404"
True,"Feb 01, 2016",369.35,378.07,367.96,373.06,"51,656,700","5,653,747,618"
True,"Jan 01, 2016",430.72,436.25,427.52,434.33,"36,278,900","6,529,299,589"
True,"Dec 01, 2015",377.41,378.93,356.56,362.49,"60,452,200","5,403,653,927"
True,"Nov 01, 2015",315.01,327.47,311.88,325.43,"37,001,100","4,813,287,206"
True,"Oct 01, 2015",236.00,238.45,235.62,237.55,"20,488,800","3,486,370,082"
True,"Sep 01, 2015",230.26,231.22,226.86,228.12,"20,575,200","3,322,548,147"
True,"Aug 01, 2015",284.69,284.93,278.11,281.60,"18,995,000","4,069,120,370"
True,"Jul 01, 2015",263.35,265.17,255.77,258.62,"27,029,800","3,707,306,173"
True,"Jun 01, 2015",230.23,231.71,221.30,222.93,"26,090,500","3,171,172,508"
True,"May 01, 2015",235.94,238.97,232.08,232.08,"18,815,300","3,275,574,610"
