Value
10450
10425
10525
10400
10275
10375
10325
10275
10325
10475
10375
10425
9975
10325
10150
10175
10100
5225
5000
5037
5012
5012
5025
5037
4987
5000
5050
5012
5000
5062
5037
5012
5025
4987
5012
5100
5000
5012
5025
5000
5025
5000
5012
5012
4987
5012
5000
5000
5037
5000
4987
5012
4987
5012
5000
5025
5000
4987
5050
5000
5000
5025
5012
5012
5012
4987
4987
6362
5037
5000
4987
5012
