Value
3281300
2356050
2736500
2568800
2383800
2303250
2663850
2887275
2354100
2482575
3371875
3773850
4329150
3851225
4415250
4242975
4555100
2800600
3380000
3052422
2866864
3072356
3663225
3807972
4977026
4945000
6171100
5412960
7105000
12184234
12260058
13622616
24582300
21957761
33916204
55972500
68285000
45960040
55028775
34220000
45822975
37705000
32001620
38211488
35871491
33024068
31885000
21070000
19357191
17435000
19244833
41780032
20735946
27074824
42820000
53179575
51995000
48658159
42132150
46305000
37120000
43757700
42556892
42852600
42987924
41436983
40923322
51067774
38492754
36480000
36888839
35319564
